date,open,high,low,close,adj_close,volume
2019-08-26,12621.75,12621.75,12230.0,12391.349609375,12044.6962890625,77906
2019-08-27,12354.099609375,12550.0,12354.099609375,12472.349609375,12123.4296875,92699
2019-08-28,12545.0,12850.0,12409.9501953125,12517.400390625,12167.22265625,103647
2019-08-29,12643.0,12890.0,12610.0,12716.849609375,12361.091796875,243927
2019-08-30,12725.0,12948.7998046875,12567.0,12875.2001953125,12515.01171875,124005
2019-09-03,12830.0,12899.0,12597.599609375,12690.9501953125,12335.916015625,79268
2019-09-04,12699.75,12750.599609375,12387.650390625,12480.75,12131.595703125,91435
2019-09-05,12480.0498046875,12675.0,12480.0498046875,12612.150390625,12259.3212890625,52941
2019-09-06,12650.0,12712.2001953125,12505.0,12613.9501953125,12261.0703125,57818
2019-09-09,12629.2998046875,12900.0,12564.7001953125,12836.349609375,12477.248046875,68341
2019-09-11,12838.9501953125,12841.9501953125,12663.349609375,12758.9501953125,12402.0146484375,105665
2019-09-12,12776.4501953125,12836.2001953125,12520.2998046875,12556.900390625,12205.6162109375,73503
2019-09-13,12570.0,12719.0,12509.5,12689.2998046875,12334.3115234375,56507
2019-09-16,12511.900390625,12869.9501953125,12511.900390625,12840.9501953125,12481.7197265625,48505
2019-09-17,12760.0498046875,12790.0,12706.0498046875,12764.25,12407.1650390625,70472
2019-09-18,12844.0,12889.9501953125,12650.0,12869.0,12508.984375,44518
2019-09-19,12740.0498046875,12888.0,12635.0,12694.900390625,12339.755859375,77719
2019-09-20,12745.0,13629.4501953125,12531.0,13499.400390625,13121.75,284070
2019-09-23,13700.0,14117.2001953125,13601.849609375,13713.2001953125,13329.568359375,138605
2019-09-24,13720.0,13800.0,13310.150390625,13430.7001953125,13054.970703125,116332
2019-09-25,13424.0,13573.0,13305.099609375,13458.5,13081.9931640625,83246
2019-09-26,13545.0,14144.0,13525.0498046875,13934.599609375,13544.771484375,897253
2019-09-27,13840.0,13898.150390625,13600.0,13740.900390625,13356.4931640625,110119
2019-09-30,13740.099609375,13992.0,13680.0,13889.650390625,13501.08203125,96499
2019-10-01,13889.0,13946.9501953125,13649.900390625,13681.5498046875,13298.8037109375,83545
2019-10-03,13680.0,13749.599609375,13566.0498046875,13709.849609375,13326.3115234375,40894
2019-10-04,13792.0,13792.0,13335.900390625,13441.0,13064.982421875,91909
2019-10-07,13508.2001953125,13698.0,13460.0,13603.349609375,13222.7900390625,42763
2019-10-09,13645.0,13910.0,13510.0498046875,13858.2998046875,13470.6083984375,93577
2019-10-10,13857.0,13857.0,13680.0,13819.849609375,13433.234375,27905
2019-10-11,13819.849609375,14075.0,13819.849609375,14032.400390625,13639.8388671875,61075
2019-10-14,14135.0,14215.0,13950.0,14169.0,13772.6171875,70672
2019-10-15,14152.099609375,14205.0,14035.9501953125,14086.7998046875,13692.7158203125,97808
2019-10-16,14099.900390625,14403.5498046875,14080.0,14351.5,13950.0107421875,67279
2019-10-17,14383.0,14630.349609375,14160.0,14516.849609375,14110.7353515625,114493
2019-10-18,14519.099609375,14943.349609375,14403.2998046875,14835.4501953125,14420.4228515625,121565
2019-10-22,14888.0,15110.9501953125,14836.0,15020.0,14599.810546875,138011
2019-10-23,15091.0,15125.849609375,14916.25,14983.0,14563.845703125,58986
2019-10-24,15019.0,15048.0,14625.849609375,14666.0,14255.712890625,114813
2019-10-25,14779.0,14900.0,14461.349609375,14803.349609375,14389.220703125,131479
2019-10-29,14868.0,14868.0,14510.0,14699.75,14288.51953125,99038
2019-10-30,14887.0,14998.900390625,14750.2998046875,14967.7998046875,14549.0703125,58061
2019-10-31,14970.0498046875,15146.900390625,14783.849609375,14947.0,14528.8525390625,80261
2019-11-01,14947.0,15069.599609375,14850.2998046875,14959.7998046875,14541.294921875,49392
2019-11-04,14988.400390625,15091.7001953125,14801.099609375,14813.349609375,14398.9404296875,39581
2019-11-05,14840.0,14885.0,14605.400390625,14650.2001953125,14240.353515625,83265
2019-11-06,14675.0,14821.0,14588.650390625,14649.650390625,14239.8193359375,78659
2019-11-07,14710.0,14790.0498046875,14551.0,14711.25,14299.697265625,47438
2019-11-08,14750.0,14850.0,14374.0,14471.2998046875,14066.458984375,82029
2019-11-11,14490.0,14599.900390625,14051.099609375,14108.4501953125,13713.7607421875,145341
2019-11-13,14108.4501953125,14329.599609375,14070.25,14233.25,13835.0693359375,66651
2019-11-14,14250.0,14300.9501953125,14100.0,14231.349609375,13833.2216796875,60476
2019-11-15,14261.849609375,14437.0,14153.0498046875,14295.5498046875,13895.626953125,75837
2019-11-18,14349.900390625,14349.900390625,14059.0498046875,14085.5498046875,13691.5009765625,64978
2019-11-19,14110.0,14211.900390625,14009.599609375,14117.099609375,13722.16796875,44787
2019-11-20,14117.0,14289.0,13982.5,14228.650390625,13830.59765625,79418
2019-11-21,14240.0,14280.150390625,14121.099609375,14179.4501953125,13782.7744140625,40484
2019-11-22,14190.0,14300.9501953125,14102.0,14171.5,13775.0478515625,43132
2019-11-25,14248.150390625,14580.0,14155.0,14486.7998046875,14081.525390625,74577
2019-11-26,14398.849609375,14600.0,14225.4501953125,14524.400390625,14118.0751953125,199248
2019-11-27,14560.0,14700.0,14226.849609375,14562.7001953125,14155.3037109375,71919
2019-11-28,14635.5,14700.0,14574.0,14659.5498046875,14249.4423828125,45678
2019-11-29,14699.0,14699.0,14411.0,14453.9501953125,14049.5966796875,46873
2019-12-02,14453.9501953125,14631.2998046875,14285.900390625,14557.650390625,14150.3935546875,74954
2019-12-03,14553.2998046875,14553.2998046875,14305.7998046875,14353.5,13951.9560546875,54872
2019-12-04,14330.0,14375.0,14201.0,14306.25,13906.0263671875,55888
2019-12-05,14395.650390625,14395.650390625,14220.0,14289.650390625,13889.8916015625,79335
2019-12-06,14301.0,14324.349609375,14149.0,14166.2998046875,13769.9912109375,58487
2019-12-09,14230.0,14269.0,14005.0,14232.5,13834.3408203125,97712
2019-12-10,14224.0,14242.9501953125,14031.7001953125,14091.7001953125,13750.6181640625,61800
